"Id";"ActivityDay";"StepTotal"
4445114986;"2016-04-21 00:00:00";3809
4445114986;"2016-04-22 00:00:00";6831
4445114986;"2016-04-23 00:00:00";4363
4445114986;"2016-04-24 00:00:00";5002
4445114986;"2016-04-25 00:00:00";3385
4445114986;"2016-04-26 00:00:00";6326
4445114986;"2016-04-27 00:00:00";7243
4445114986;"2016-04-28 00:00:00";4493
4445114986;"2016-04-29 00:00:00";4676
4445114986;"2016-04-30 00:00:00";6222
4445114986;"2016-05-01 00:00:00";5232
4445114986;"2016-05-02 00:00:00";6910
4445114986;"2016-05-03 00:00:00";7502
4445114986;"2016-05-04 00:00:00";2923
4445114986;"2016-05-05 00:00:00";3800
4445114986;"2016-05-06 00:00:00";4514
4445114986;"2016-05-07 00:00:00";5183
4445114986;"2016-05-08 00:00:00";7303
4445114986;"2016-05-09 00:00:00";5275
4445114986;"2016-05-10 00:00:00";3915
4445114986;"2016-05-11 00:00:00";9105
4445114986;"2016-05-12 00:00:00";768
4558609924;"2016-04-12 00:00:00";5135
4558609924;"2016-04-13 00:00:00";4978
4558609924;"2016-04-14 00:00:00";6799
4558609924;"2016-04-15 00:00:00";7795
4558609924;"2016-04-16 00:00:00";7289
4558609924;"2016-04-17 00:00:00";9634
4558609924;"2016-04-18 00:00:00";8940
4558609924;"2016-04-19 00:00:00";5401
4558609924;"2016-04-20 00:00:00";4803
4558609924;"2016-04-21 00:00:00";13743
4558609924;"2016-04-22 00:00:00";9601
4558609924;"2016-04-23 00:00:00";6890
4558609924;"2016-04-24 00:00:00";8563
4558609924;"2016-04-25 00:00:00";8095
4558609924;"2016-04-26 00:00:00";9148
4558609924;"2016-04-27 00:00:00";9557
4558609924;"2016-04-28 00:00:00";9451
4558609924;"2016-04-29 00:00:00";7833
4558609924;"2016-04-30 00:00:00";10319
4558609924;"2016-05-01 00:00:00";3428
4558609924;"2016-05-02 00:00:00";7891
4558609924;"2016-05-03 00:00:00";5267
4558609924;"2016-05-04 00:00:00";5232
4558609924;"2016-05-05 00:00:00";10611
4558609924;"2016-05-06 00:00:00";3755
4558609924;"2016-05-07 00:00:00";8237
4558609924;"2016-05-08 00:00:00";6543
4558609924;"2016-05-09 00:00:00";11451
4558609924;"2016-05-10 00:00:00";6435
4558609924;"2016-05-11 00:00:00";9108
4558609924;"2016-05-12 00:00:00";6307
4702921684;"2016-04-12 00:00:00";7213
4702921684;"2016-04-13 00:00:00";6877
4702921684;"2016-04-14 00:00:00";7860
4702921684;"2016-04-15 00:00:00";6506
4702921684;"2016-04-16 00:00:00";11140
4702921684;"2016-04-17 00:00:00";12692
4702921684;"2016-04-18 00:00:00";9105
4702921684;"2016-04-19 00:00:00";6708
4702921684;"2016-04-20 00:00:00";8793
4702921684;"2016-04-21 00:00:00";6530
4702921684;"2016-04-22 00:00:00";1664
4702921684;"2016-04-23 00:00:00";15126
4702921684;"2016-04-24 00:00:00";15050
4702921684;"2016-04-25 00:00:00";9167
4702921684;"2016-04-26 00:00:00";6108
4702921684;"2016-04-27 00:00:00";7047
4702921684;"2016-04-28 00:00:00";9023
4702921684;"2016-04-29 00:00:00";9930
4702921684;"2016-04-30 00:00:00";10144
4702921684;"2016-05-01 00:00:00";0
4702921684;"2016-05-02 00:00:00";7245
4702921684;"2016-05-03 00:00:00";9454
4702921684;"2016-05-04 00:00:00";8161
4702921684;"2016-05-05 00:00:00";8614
4702921684;"2016-05-06 00:00:00";6943
4702921684;"2016-05-07 00:00:00";14370
4702921684;"2016-05-08 00:00:00";12857
4702921684;"2016-05-09 00:00:00";8232
4702921684;"2016-05-10 00:00:00";10613
